ip;port;type;ssl;country;latency(msec);uptime(per cent);checked(UTC)
183.89.104.14;3128;Distorting;false;"Thailand";3751;66;"Jan 22 19:08:11"
186.112.140.10;8080;Transparent;false;"Colombia";14712;83;"Jan 22 19:08:08"
184.171.247.227;8080;Transparent;false;"United States";8627;97;"Jan 22 19:07:48"
183.63.145.116;3128;Transparent;false;"China";2162;94;"Jan 22 19:07:22"
183.232.25.39;80;Transparent;false;"China";1033;99;"Jan 22 19:06:56"
180.235.132.239;8080;Anonymous;false;"Hong Kong";31931;53;"Jan 22 19:06:46"
177.99.238.111;8080;Transparent;false;"Brazil";1230;84;"Jan 22 19:06:40"
177.64.215.234;3128;Transparent;false;"Brazil";2206;66;"Jan 22 19:06:38"
124.81.113.183;8080;Transparent;false;"Indonesia";1411;88;"Jan 22 19:06:30"
124.247.238.59;8080;Transparent;false;"India";1045;97;"Jan 22 19:06:28"
180.247.113.20;8080;Transparent;false;"Indonesia";4231;95;"Jan 22 19:06:28"
124.240.187.81;80;Anonymous;false;"China";1899;92;"Jan 22 19:06:26"
177.23.136.170;7737;Transparent;false;"Brazil";823;66;"Jan 22 19:05:59"
177.105.115.41;3128;Transparent;false;"Brazil";2012;95;"Jan 22 19:05:27"
180.183.87.125;8080;Distorting;false;"Thailand";559;66;"Jan 22 19:05:13"
180.183.85.44;8080;Distorting;false;"Thailand";5998;75;"Jan 22 19:05:12"
180.245.204.64;3128;Transparent;false;"Indonesia";1977;66;"Jan 22 19:04:47"
180.178.98.78;8080;Transparent;false;"Indonesia";15938;91;"Jan 22 19:04:44"
175.25.243.26;80;Transparent;false;"China";702;98;"Jan 22 19:04:33"
175.103.37.35;8080;Transparent;false;"Indonesia";1225;66;"Jan 22 19:04:29"
147.47.106.112;1920;Anonymous;false;"Korea (South)";7313;15;"Jan 22 19:04:22"
178.21.131.68;80;Transparent;false;"Norway";728;98;"Jan 22 19:03:58"
178.209.127.5;8080;Transparent;false;"Russian Federation";1021;91;"Jan 22 19:03:57"
122.72.99.8;80;Transparent;false;"China";917;94;"Jan 22 19:03:48"
122.72.99.3;80;Transparent;false;"China";2060;91;"Jan 22 19:03:47"
122.72.76.121;80;Transparent;false;"China";838;97;"Jan 22 19:03:45"
122.72.0.6;80;Transparent;false;"China";7526;96;"Jan 22 19:03:43"
117.102.94.180;8080;Transparent;false;"Indonesia";6935;98;"Jan 22 19:03:05"
116.77.35.118;80;Anonymous;false;"China";9937;80;"Jan 22 19:02:57"
111.161.30.231;80;Distorting;false;"China";1757;91;"Jan 22 19:02:49"
111.161.30.228;80;Distorting;false;"China";1427;85;"Jan 22 19:02:47"
111.161.30.227;80;Distorting;false;"China";2477;83;"Jan 22 19:02:46"
116.231.165.246;8080;Transparent;false;"China";5071;96;"Jan 22 19:02:45"
111.161.30.225;80;Distorting;false;"China";1910;84;"Jan 22 19:02:43"
116.112.66.102;808;Distorting;false;"China";1571;97;"Jan 22 19:02:40"
125.88.74.91;8080;Distorting;false;"China";9377;93;"Jan 22 19:02:40"
