
ip;port;type;ssl;country;latency(msec);uptime(per cent);checked(UTC)
177.87.193.134;3128;Transparent;false;"Brazil";1161;97;"Dec 28 14:16:49"
177.80.136.196;3128;Transparent;false;"Brazil";8883;94;"Dec 28 14:16:38"
177.36.242.105;8080;Transparent;false;"Brazil";10022;62;"Dec 28 14:16:29"
177.23.181.82;8080;Transparent;false;"Brazil";794;75;"Dec 28 14:16:19"
200.149.232.32;8080;Transparent;false;"Brazil";1383;96;"Dec 28 13:50:05"
187.62.94.214;3128;Transparent;false;"Brazil";1334;83;"Dec 28 13:47:38"
187.62.79.17;8080;Transparent;false;"Brazil";1468;97;"Dec 28 13:47:37"
187.60.45.242;8080;Transparent;false;"Brazil";641;86;"Dec 28 13:47:35"
187.60.40.17;8080;Transparent;false;"Brazil";1176;75;"Dec 28 13:47:34"
189.91.223.42;8080;Transparent;false;"Brazil";6537;94;"Dec 28 13:47:21"
187.6.86.4;8080;Transparent;false;"Brazil";988;99;"Dec 28 13:47:20"
189.91.213.114;3128;Transparent;false;"Brazil";6351;97;"Dec 28 13:47:14"
187.52.2.210;8080;Transparent;false;"Brazil";1673;96;"Dec 28 13:47:05"
187.52.106.242;3128;Transparent;false;"Brazil";714;96;"Dec 28 13:46:49"
187.52.106.170;3128;Transparent;false;"Brazil";1468;96;"Dec 28 13:46:48"
187.52.106.162;8080;Transparent;false;"Brazil";2031;97;"Dec 28 13:46:46"
189.42.189.194;3128;Transparent;false;"Brazil";967;98;"Dec 28 13:46:08"
189.127.3.114;3128;Transparent;false;"Brazil";948;94;"Dec 28 13:46:04"
186.237.23.160;8080;Transparent;false;"Brazil";24266;92;"Dec 28 13:45:49"
186.225.129.162;3128;Transparent;false;"Brazil";902;98;"Dec 28 13:45:25"
177.47.34.16;8080;Transparent;false;"Brazil";16844;93;"Dec 28 13:45:01"
177.47.225.1;8080;Transparent;false;"Brazil";1006;93;"Dec 28 13:44:23"
186.194.240.193;8080;Transparent;false;"Brazil";1172;94;"Dec 28 13:44:17"
177.23.101.116;8080;Transparent;false;"Brazil";1497;94;"Dec 28 13:44:16"
177.20.247.18;3128;Transparent;false;"Brazil";1046;81;"Dec 28 13:44:14"
189.75.63.114;1080;Socks4;true;"Brazil";30;74;"Dec 28 13:44:02"
177.103.139.64;3128;Transparent;false;"Brazil";6989;84;"Dec 28 13:43:58"
201.64.254.228;3128;Transparent;false;"Brazil";6266;94;"Dec 28 13:19:59"
201.59.167.202;8080;Transparent;false;"Brazil";3731;93;"Dec 28 13:19:53"
189.80.168.162;8080;Transparent;false;"Brazil";13192;87;"Dec 28 13:17:44"
